Task_name,Id_number,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response
Hard_Math_Task,subject_1,5,10,1,9.5,10,1,2,1.6,2.7,1.6,1.1,9.7,9.3,2.4,1.8,8.3,10
Hard_Math_Task,subject_1,-13,9.7,2.2,9.7,9.6,3.4,2,2.9,2.5,2.1,2.6,9.6,8.8,5.7,1.4,9,9.3
Hard_Math_Task,subject_1,-12,9.4,1,9.4,9.4,2.7,2.2,5,1.2,1.7,1,9.7,9.2,2,8.7,9.1,9.3
GoNoGo_Task,subject_1,-6,10,1,1.4,10,2.5,10,8.7,1.6,1.7,1,10,10,3.9,5.3,1.2,10
GoNoGo_Task,subject_1,9,10,1.1,1.3,10,1.6,9.2,1.5,1.5,2.6,1.9,9,10,2.2,5.3,2.5,9.2
GoNoGo_Task,subject_1,-11,9.6,9,7.1,10,1.5,6.1,8.3,7.3,8,9.5,2.7,8,9.1,1.7,9.4,8.9
Memory_Task,subject_1,-10,2.2,10,1.2,10,1.2,10,9.3,3.1,1.5,1.4,8.3,2.8,1,4.7,9.5,10
Memory_Task,subject_1,9,8.5,10,1,10,1.3,10,10,1,1.4,1.1,10,2.4,1,8.2,10,10
Memory_Task,subject_1,-6,10,10,1,10,2.6,10,10,1,1,1,10,9,1,9.3,10,10
Movie_Task-bridge,subject_1,-9,6.7,2.2,7.9,10,1.3,10,3,8.6,7.8,4.2,3.2,7.6,3.1,2.9,9.8,10
Movie_Task-bridge,subject_1,-9,5.9,6.3,1.9,10,1,3.9,8.3,1,1.1,2.8,4.2,6.4,3.5,5.4,8.8,4.9
GoNoGo_Task,subject_2,15,4,1,4,3,5,7,4.5,7,7.5,3,3,4,2.5,4,3,9
GoNoGo_Task,subject_2,6,3,2,5,6,7,5,4,4,4,3,8,6,6,4,4,10
GoNoGo_Task,subject_2,14,8,3,4,6,4,4,3,1,5,4,7,4,4,7,3,10
Hard_Math_Task,subject_2,10,9,3,9,7.5,5,5,6,2.5,6,4,8,4,2,9,4,10
Hard_Math_Task,subject_2,13,7,2,7.5,4,4,5,4,3,6,2,8,5,2.5,6.5,4,9
Hard_Math_Task,subject_2,8,7,3,8,5.5,5,3.5,3.5,2,6,3,9,4.5,2.5,7,3.5,9
Memory_Task,subject_2,-15,6.5,3,4,4,5.5,9.5,10,4.5,7,3.5,5.5,7,2,9,8,8
