METADATA:
Experiment Seed,Subject
6177044,subject003
Time after setup,14.554782799999998
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,10
EXPERIMENT DATA:,Movie Task
Start Time,63.10217929999999
ESQ,146.35051369999996,,Words_response,6.800000000000004,Movie Task,1,subject003,,Marker Started at 8,Movie Task-bridge
ESQ,154.07277249999993,,Distracting_response,8.199999999999992,Movie Task,1,subject003,,Marker Started at 6,Movie Task-bridge
ESQ,163.13075489999994,,Deliberate_response,5.000000000000001,Movie Task,1,subject003,,Marker Started at 4,Movie Task-bridge
ESQ,170.81921979999993,,Sounds_response,3.1,Movie Task,1,subject003,,Marker Started at 3,Movie Task-bridge
ESQ,176.95746780000002,,Future_response,2.0,Movie Task,1,subject003,,Marker Started at 2,Movie Task-bridge
ESQ,186.85005230000002,,Emotion_response,6.299999999999997,Movie Task,1,subject003,,Marker Started at 3,Movie Task-bridge
ESQ,192.05377020000003,,Other_response,7.399999999999992,Movie Task,1,subject003,,Marker Started at 4,Movie Task-bridge
ESQ,198.20844349999993,,Knowledge_response,3.300000000000002,Movie Task,1,subject003,,Marker Started at 6,Movie Task-bridge
ESQ,202.7954118,,Intrusive_response,6.0,Movie Task,1,subject003,,Marker Started at 6,Movie Task-bridge
ESQ,211.08556550000003,,Problem_response,6.099999999999999,Movie Task,1,subject003,,Marker Started at 2,Movie Task-bridge
ESQ,220.00862159999997,,Detailed_response,7.500000000000009,Movie Task,1,subject003,,Marker Started at 10,Movie Task-bridge
ESQ,231.90071119999993,,Focus_response,2.300000000000012,Movie Task,1,subject003,,Marker Started at 9,Movie Task-bridge
ESQ,238.24038280000002,,Images_response,7.100000000000003,Movie Task,1,subject003,,Marker Started at 8,Movie Task-bridge
ESQ,244.77905009999995,,Past_response,8.09999999999999,Movie Task,1,subject003,,Marker Started at 4,Movie Task-bridge
ESQ,247.98160310000003,,Self_response,9.0,Movie Task,1,subject003,,Marker Started at 9,Movie Task-bridge
ESQ,255.10329159999992,,Absorption_response,5.100000000000014,Movie Task,1,subject003,,Marker Started at 9,Movie Task-bridge
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,301.12164039999993
ESQ,329.29538719999994,,Distracting_response,4.399999999999999,Experience Sampling Questions,1,subject003,,Marker Started at 5,Movie Task-Movie Task-bridge
ESQ,335.4515077,,Emotion_response,6.600000000000012,Experience Sampling Questions,1,subject003,,Marker Started at 10,Movie Task-Movie Task-bridge
ESQ,342.15645689999997,,Detailed_response,4.9,Experience Sampling Questions,1,subject003,,Marker Started at 4,Movie Task-Movie Task-bridge
ESQ,351.4304406,,Knowledge_response,1.7999999999999994,Experience Sampling Questions,1,subject003,,Marker Started at 3,Movie Task-Movie Task-bridge
ESQ,357.53529449999996,,Focus_response,4.000000000000017,Experience Sampling Questions,1,subject003,,Marker Started at 10,Movie Task-Movie Task-bridge
ESQ,361.75547459999996,,Words_response,7.0,Experience Sampling Questions,1,subject003,,Marker Started at 7,Movie Task-Movie Task-bridge
ESQ,373.2813043,,Absorption_response,6.999999999999993,Experience Sampling Questions,1,subject003,,Marker Started at 5,Movie Task-Movie Task-bridge
ESQ,376.83429849999993,,Deliberate_response,7.0,Experience Sampling Questions,1,subject003,,Marker Started at 7,Movie Task-Movie Task-bridge
ESQ,382.4226341,,Intrusive_response,8.199999999999989,Experience Sampling Questions,1,subject003,,Marker Started at 5,Movie Task-Movie Task-bridge
ESQ,388.3433446,,Self_response,3.100000000000009,Experience Sampling Questions,1,subject003,,Marker Started at 8,Movie Task-Movie Task-bridge
ESQ,394.4816215999999,,Problem_response,1.6999999999999975,Experience Sampling Questions,1,subject003,,Marker Started at 5,Movie Task-Movie Task-bridge
ESQ,397.55094969999993,,Other_response,8.0,Experience Sampling Questions,1,subject003,,Marker Started at 8,Movie Task-Movie Task-bridge
ESQ,400.2700416,,Images_response,9.0,Experience Sampling Questions,1,subject003,,Marker Started at 9,Movie Task-Movie Task-bridge
ESQ,403.6726056,,Future_response,4.0,Experience Sampling Questions,1,subject003,,Marker Started at 4,Movie Task-Movie Task-bridge
ESQ,409.0943056,,Past_response,1.0,Experience Sampling Questions,1,subject003,,Marker Started at 6,Movie Task-Movie Task-bridge
ESQ,415.99834880000003,,Sounds_response,3.6000000000000005,Experience Sampling Questions,1,subject003,,Marker Started at 3,Movie Task-Movie Task-bridge
 
Runtime Mod,-7
EXPERIMENT DATA:,GoNoGo Task
Start Time,416.0271121999999
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,514.9636057
