METADATA:
Experiment Seed,Subject
7085218,Subject016
Time after setup,50.20197489997372
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,5
EXPERIMENT DATA:,Movie Task
Start Time,118.92525929992553
ESQ,209.1577391999308,,Distracting_response,4.000000000000013,Movie Task,1,Subject016,,Marker Started at 9,Movie Task-bridge
ESQ,220.2333568999311,,Focus_response,2.500000000000005,Movie Task,1,Subject016,,Marker Started at 7,Movie Task-bridge
ESQ,229.59181230003014,,Detailed_response,2.900000000000016,Movie Task,1,Subject016,,Marker Started at 10,Movie Task-bridge
ESQ,238.6657671999419,,Intrusive_response,3.6000000000000165,Movie Task,1,Subject016,,Marker Started at 10,Movie Task-bridge
ESQ,249.12303200003225,,Knowledge_response,6.500000000000012,Movie Task,1,Subject016,,Marker Started at 10,Movie Task-bridge
ESQ,255.04571390000638,,Deliberate_response,5.0000000000000036,Movie Task,1,Subject016,,Marker Started at 6,Movie Task-bridge
ESQ,263.43576669995673,,Future_response,5.900000000000011,Movie Task,1,Subject016,,Marker Started at 9,Movie Task-bridge
ESQ,270.94103719992563,,Images_response,1.7000000000000153,Movie Task,1,Subject016,,Marker Started at 10,Movie Task-bridge
ESQ,279.5994228000054,,Past_response,6.499999999999995,Movie Task,1,Subject016,,Marker Started at 5,Movie Task-bridge
ESQ,287.95453029999044,,Problem_response,2.600000000000012,Movie Task,1,Subject016,,Marker Started at 9,Movie Task-bridge
ESQ,295.6106413999805,,Other_response,7.899999999999993,Movie Task,1,Subject016,,Marker Started at 6,Movie Task-bridge
ESQ,303.10184509993996,,Emotion_response,5.499999999999998,Movie Task,1,Subject016,,Marker Started at 5,Movie Task-bridge
ESQ,309.6719028999796,,Sounds_response,1.0,Movie Task,1,Subject016,,Marker Started at 10,Movie Task-bridge
ESQ,314.4755590999266,,Self_response,8.500000000000005,Movie Task,1,Subject016,,Marker Started at 10,Movie Task-bridge
ESQ,324.23379939992446,,Absorption_response,6.099999999999996,Movie Task,1,Subject016,,Marker Started at 5,Movie Task-bridge
ESQ,333.8911384999519,,Words_response,2.5000000000000084,Movie Task,1,Subject016,,Marker Started at 8,Movie Task-bridge
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,360.9369555999292
ESQ,374.3587108999491,,Future_response,7.599999999999998,Experience Sampling Questions,1,Subject016,,Marker Started at 7,Movie Task-Movie Task-bridge
ESQ,382.71379629999865,,Deliberate_response,4.8000000000000025,Experience Sampling Questions,1,Subject016,,Marker Started at 2,Movie Task-Movie Task-bridge
ESQ,389.0689289999427,,Focus_response,3.3000000000000056,Experience Sampling Questions,1,Subject016,,Marker Started at 7,Movie Task-Movie Task-bridge
ESQ,394.4056952999672,,Problem_response,5.20000000000001,Experience Sampling Questions,1,Subject016,,Marker Started at 8,Movie Task-Movie Task-bridge
ESQ,401.3456539999461,,Sounds_response,1.6000000000000045,Experience Sampling Questions,1,Subject016,,Marker Started at 7,Movie Task-Movie Task-bridge
ESQ,409.6355527000269,,Intrusive_response,2.0,Experience Sampling Questions,1,Subject016,,Marker Started at 2,Movie Task-Movie Task-bridge
ESQ,414.7557268999517,,Past_response,2.0999999999999983,Experience Sampling Questions,1,Subject016,,Marker Started at 4,Movie Task-Movie Task-bridge
ESQ,419.39279299997725,,Self_response,9.200000000000003,Experience Sampling Questions,1,Subject016,,Marker Started at 10,Movie Task-Movie Task-bridge
