METADATA:
Experiment Seed,Subject
7085218,Subject016
Time after setup,50.201961099985056
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,118.92524709994905
Movie Task Start,118.92528279998805,,,,Movie Task,1,Subject016,,,
Movie Init,131.16251099994406,,,,Movie Task,1,Subject016,,,
Movie Start,131.1625521000242,,,,Movie Task,1,Subject016,,bridge.mp4,
ESQ,193.17019350000191,,Distracting_start,,Movie Task,1,Subject016,,,Movie Task-bridge
ESQ,209.1577391999308,,Distracting_response,4.000000000000013,Movie Task,1,Subject016,,Marker Started at 9,Movie Task-bridge
ESQ,209.1592873999616,,Focus_start,,Movie Task,1,Subject016,,,Movie Task-bridge
ESQ,220.2333568999311,,Focus_response,2.500000000000005,Movie Task,1,Subject016,,Marker Started at 7,Movie Task-bridge
ESQ,220.23466489999555,,Detailed_start,,Movie Task,1,Subject016,,,Movie Task-bridge
ESQ,229.59181230003014,,Detailed_response,2.900000000000016,Movie Task,1,Subject016,,Marker Started at 10,Movie Task-bridge
ESQ,229.5931147999363,,Intrusive_start,,Movie Task,1,Subject016,,,Movie Task-bridge
ESQ,238.6657671999419,,Intrusive_response,3.6000000000000165,Movie Task,1,Subject016,,Marker Started at 10,Movie Task-bridge
ESQ,238.66740219993517,,Knowledge_start,,Movie Task,1,Subject016,,,Movie Task-bridge
ESQ,249.12303200003225,,Knowledge_response,6.500000000000012,Movie Task,1,Subject016,,Marker Started at 10,Movie Task-bridge
ESQ,249.12436849996448,,Deliberate_start,,Movie Task,1,Subject016,,,Movie Task-bridge
ESQ,255.04571390000638,,Deliberate_response,5.0000000000000036,Movie Task,1,Subject016,,Marker Started at 6,Movie Task-bridge
ESQ,255.04713149997406,,Future_start,,Movie Task,1,Subject016,,,Movie Task-bridge
ESQ,263.43576669995673,,Future_response,5.900000000000011,Movie Task,1,Subject016,,Marker Started at 9,Movie Task-bridge
ESQ,263.43734379997477,,Images_start,,Movie Task,1,Subject016,,,Movie Task-bridge
ESQ,270.94103719992563,,Images_response,1.7000000000000153,Movie Task,1,Subject016,,Marker Started at 10,Movie Task-bridge
ESQ,270.94309870002326,,Past_start,,Movie Task,1,Subject016,,,Movie Task-bridge
ESQ,279.5994228000054,,Past_response,6.499999999999995,Movie Task,1,Subject016,,Marker Started at 5,Movie Task-bridge
ESQ,279.6007100000279,,Problem_start,,Movie Task,1,Subject016,,,Movie Task-bridge
ESQ,287.95453029999044,,Problem_response,2.600000000000012,Movie Task,1,Subject016,,Marker Started at 9,Movie Task-bridge
ESQ,287.95615939993877,,Other_start,,Movie Task,1,Subject016,,,Movie Task-bridge
