METADATA:
Experiment Seed,Subject
3995334,040
Time after setup,5.913834300008602
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,10
EXPERIMENT DATA:,Hard Math Task
Start Time,73.27155750000384
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,180.84262499999022
ESQ,204.27395179998712,,Sounds_response,7.399999999999992,Experience Sampling Questions,1,040,,Marker Started at 4,Hard Math Task
ESQ,215.18505800000275,,Intrusive_response,7.199999999999993,Experience Sampling Questions,1,040,,Marker Started at 4,Hard Math Task
ESQ,221.9228271000029,,Deliberate_response,7.6000000000000085,Experience Sampling Questions,1,040,,Marker Started at 10,Hard Math Task
ESQ,229.02705420000711,,Images_response,6.199999999999998,Experience Sampling Questions,1,040,,Marker Started at 2,Hard Math Task
ESQ,236.41624699998647,,Detailed_response,6.699999999999996,Experience Sampling Questions,1,040,,Marker Started at 3,Hard Math Task
ESQ,245.59105799999088,,Knowledge_response,7.100000000000003,Experience Sampling Questions,1,040,,Marker Started at 8,Hard Math Task
ESQ,251.32934039999964,,Absorption_response,7.899999999999993,Experience Sampling Questions,1,040,,Marker Started at 6,Hard Math Task
ESQ,255.44749880000018,,Emotion_response,3.200000000000009,Experience Sampling Questions,1,040,,Marker Started at 8,Hard Math Task
ESQ,262.2535162999993,,Other_response,4.800000000000003,Experience Sampling Questions,1,040,,Marker Started at 6,Hard Math Task
ESQ,272.71335129998624,,Focus_response,5.8999999999999995,Experience Sampling Questions,1,040,,Marker Started at 2,Hard Math Task
ESQ,279.66748770000413,,Problem_response,6.699999999999997,Experience Sampling Questions,1,040,,Marker Started at 2,Hard Math Task
ESQ,285.5235984000028,,Future_response,2.3000000000000047,Experience Sampling Questions,1,040,,Marker Started at 7,Hard Math Task
ESQ,295.41444500000216,,Words_response,7.799999999999994,Experience Sampling Questions,1,040,,Marker Started at 6,Hard Math Task
ESQ,299.8001827999833,,Past_response,1.3000000000000047,Experience Sampling Questions,1,040,,Marker Started at 7,Hard Math Task
ESQ,304.63852320000296,,Distracting_response,9.199999999999989,Experience Sampling Questions,1,040,,Marker Started at 2,Hard Math Task
ESQ,311.6610151999921,,Self_response,6.599999999999996,Experience Sampling Questions,1,040,,Marker Started at 3,Hard Math Task
 
Runtime Mod,-15
EXPERIMENT DATA:,Hard Math Task
Start Time,311.67717099998845
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,389.09059649999836
ESQ,405.6523780999996,,Past_response,5.500000000000009,Experience Sampling Questions,1,040,,Marker Started at 8,Hard Math Task
ESQ,414.1413981000078,,Self_response,5.300000000000002,Experience Sampling Questions,1,040,,Marker Started at 2,Hard Math Task
ESQ,422.4995596999943,,Future_response,1.3000000000000047,Experience Sampling Questions,1,040,,Marker Started at 7,Hard Math Task
ESQ,428.2873777000059,,Words_response,9.099999999999989,Experience Sampling Questions,1,040,,Marker Started at 2,Hard Math Task
ESQ,435.32644239999354,,Deliberate_response,9.699999999999987,Experience Sampling Questions,1,040,,Marker Started at 2,Hard Math Task
ESQ,442.96445790000143,,Intrusive_response,3.100000000000009,Experience Sampling Questions,1,040,,Marker Started at 8,Hard Math Task
ESQ,447.72018269999535,,Sounds_response,8.099999999999993,Experience Sampling Questions,1,040,,Marker Started at 6,Hard Math Task
ESQ,460.3462916999997,,Other_response,2.9000000000000052,Experience Sampling Questions,1,040,,Marker Started at 7,Hard Math Task
ESQ,464.6650751999987,,Detailed_response,8.399999999999991,Experience Sampling Questions,1,040,,Marker Started at 2,Hard Math Task
ESQ,469.1864040000073,,Absorption_response,9.0,Experience Sampling Questions,1,040,,Marker Started at 9,Hard Math Task
ESQ,480.5290173999965,,Images_response,3.4999999999999987,Experience Sampling Questions,1,040,,Marker Started at 5,Hard Math Task
ESQ,487.7348750999954,,Emotion_response,4.800000000000018,Experience Sampling Questions,1,040,,Marker Started at 10,Hard Math Task
ESQ,499.1102489999903,,Focus_response,9.499999999999986,Experience Sampling Questions,1,040,,Marker Started at 4,Hard Math Task
ESQ,506.0661478000111,,Distracting_response,4.8000000000000105,Experience Sampling Questions,1,040,,Marker Started at 8,Hard Math Task
ESQ,512.7034061999875,,Problem_response,9.099999999999987,Experience Sampling Questions,1,040,,Marker Started at 4,Hard Math Task
ESQ,529.716845899995,,Knowledge_response,6.600000000000012,Experience Sampling Questions,1,040,,Marker Started at 10,Hard Math Task
 
Runtime Mod,-9
EXPERIMENT DATA:,Hard Math Task
Start Time,529.7313393999939
EXPERIMENT DATA:,Experience Sampling Questions
