METADATA:
Experiment Seed,Subject
8272369,070
Time after setup,18.96881890000077
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,GoNoGo Task
Start Time,42.262048399992636
gonogo START,42.26208649999171,,,,GoNoGo Task,1,070,,,
Go/NoGo Initialized,71.06545589999587,,,,GoNoGo Task,1,070,,,
Stimulus start,72.13167380000232,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,73.13442299999588,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,74.19486009998946,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,74.9524834999902,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,75.75723049999215,,,,GoNoGo Task,1,070,,Type: NoGo,
Stimulus end,76.77068249999138,True,,,GoNoGo Task,1,070,,Type: NoGo,
Stimulus start,77.58364649998839,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,78.33974070000113,False,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,78.90210189999198,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,79.65569709999545,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,80.71606539998902,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,81.97481849999167,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,82.77931129999342,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,83.79316539999854,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,84.6187404999946,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,85.37708330000169,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,86.19268559999182,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,86.9444352999999,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,87.49849279999034,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,88.51264079999237,False,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,89.57111489999807,,,,GoNoGo Task,1,070,,Type: NoGo,
Stimulus end,90.58074019999185,True,,,GoNoGo Task,1,070,,Type: NoGo,
Stimulus start,91.39129709999543,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,92.65009779999673,False,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,93.4652589999896,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,94.21820829999342,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,95.02267459999712,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,95.78617069999746,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,96.8455316999898,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,97.85380889999215,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,98.66641589999199,,,,GoNoGo Task,1,070,,Type: NoGo,
Stimulus end,99.4222696999932,True,,,GoNoGo Task,1,070,,Type: NoGo,
Stimulus start,100.48070220000227,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,101.48993929999415,False,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,102.29344139999012,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,103.05867209999997,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,104.11111119999259,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,105.12701009999728,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,106.1798501000012,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,107.44565059999877,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,108.250409699991,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,109.26384709999547,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,110.32309399999212,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,111.58244579999882,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,112.64149799999723,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,113.40041299999575,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,114.45937319999211,,,,GoNoGo Task,1,070,,Type: NoGo,
Stimulus end,115.46889139999985,True,,,GoNoGo Task,1,070,,Type: NoGo,
Stimulus start,116.28030079999007,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,117.53833109998959,False,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,118.59727379999822,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,119.60469870000088,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,120.41403980000177,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,121.67390569999407,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,122.47607039999275,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,123.74234070000239,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,124.30107859999407,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,125.31014839999261,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,126.36948870000197,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,127.12816719998955,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,127.93219569999201,,,,GoNoGo Task,1,070,,Type: NoGo,
Stimulus end,128.69619829999283,True,,,GoNoGo Task,1,070,,Type: NoGo,
Stimulus start,129.75624339999922,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,131.01358689999324,False,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,131.82300379998924,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,132.58184829998936,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,133.3916823999898,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,134.40087919999496,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,135.4560732999962,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,136.46905249998963,False,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,137.0285259999946,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,138.28728079999564,False,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,138.84110069999588,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,139.85528720000002,noResponse,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,140.66824239998823,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,141.42415639999672,False,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,142.23954739999317,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,142.98988670000108,False,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,144.05143320000207,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,144.80914250000205,False,,,GoNoGo Task,1,070,,Type: Go,
Stimulus start,145.36254200000258,,,,GoNoGo Task,1,070,,Type: Go,
Stimulus end,146.12653319998935,False,,,GoNoGo Task,1,070,,Type: Go,
