METADATA:
Experiment Seed,Subject
6154394,subject079
Time after setup,19.39670310000656
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,GoNoGo Task
Start Time,51.71170929999789
gonogo START,51.71175410000433,,,,GoNoGo Task,1,subject079,,,
Go/NoGo Initialized,84.83590920000279,,,,GoNoGo Task,1,subject079,,,
Stimulus start,85.8984014000016,,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus end,86.65414600000076,noResponse,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus start,87.7077874999959,,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus end,88.72246319999977,noResponse,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus start,89.53286449999723,,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus end,90.29041339999822,noResponse,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus start,91.34975009999471,,,,GoNoGo Task,1,subject079,,Type: NoGo,
Stimulus end,92.35873599999468,True,,,GoNoGo Task,1,subject079,,Type: NoGo,
Stimulus start,93.1623988999927,,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus end,94.42713080000249,noResponse,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus start,95.2371334000054,,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus end,95.99501539999619,noResponse,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus start,96.79765439999755,,,,GoNoGo Task,1,subject079,,Type: NoGo,
Stimulus end,98.06326379999518,True,,,GoNoGo Task,1,subject079,,Type: NoGo,
Stimulus start,99.123477000001,,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus end,100.13154089999443,noResponse,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus start,100.69345399999293,,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus end,101.94970860000467,noResponse,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus start,102.50318349999725,,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus end,103.26731949999521,noResponse,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus start,103.81871979999414,,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus end,104.83528129999468,noResponse,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus start,105.63879290000477,,,,GoNoGo Task,1,subject079,,Type: Go,
Stimulus end,106.40307949999988,False,,,GoNoGo Task,1,subject079,,Type: Go,
