METADATA:
Experiment Seed,Subject
3929925,Enter Name Here
Time after setup,5.977456000000075
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Hard Math Task
Start Time,57.81149030000006
Math Task Start,83.76946040000007,,,,Hard Math Task,1,Enter Name Here,,,
fixation cross,83.7821262,,,,Hard Math Task,1,Enter Name Here,,,
Math Trial Start,85.83094860000006,,,,Hard Math Task,1,Enter Name Here,,,
Choice presented,85.83453340000005,,,,Hard Math Task,1,Enter Name Here,,,
Choice made,91.30481310000005,,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,91.30485390000013,False,,,Hard Math Task,1,Enter Name Here,,,
Math Trial Start,93.33211290000008,,,,Hard Math Task,1,Enter Name Here,,,
Choice presented,93.34150210000007,,,,Hard Math Task,1,Enter Name Here,,,
Choice made,95.6582883000001,,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,95.65832769999997,True,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,95.65834390000009,True,,,Hard Math Task,1,Enter Name Here,,,
Math Trial Start,97.68859970000017,,,,Hard Math Task,1,Enter Name Here,,,
Choice presented,97.69484190000003,,,,Hard Math Task,1,Enter Name Here,,,
Choice made,101.81292440000016,,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,101.81299400000012,True,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,101.81303590000016,True,,,Hard Math Task,1,Enter Name Here,,,
Math Trial Start,103.84247610000011,,,,Hard Math Task,1,Enter Name Here,,,
Choice presented,103.84982009999999,,,,Hard Math Task,1,Enter Name Here,,,
Choice made,108.28455069999995,,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,108.28460059999998,True,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,108.28461590000006,True,,,Hard Math Task,1,Enter Name Here,,,
Math Trial Start,110.31493330000012,,,,Hard Math Task,1,Enter Name Here,,,
Choice presented,110.32151859999999,,,,Hard Math Task,1,Enter Name Here,,,
Choice made,115.79101200000014,,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,115.79105279999999,False,,,Hard Math Task,1,Enter Name Here,,,
Math Trial Start,117.82168969999998,,,,Hard Math Task,1,Enter Name Here,,,
Choice presented,117.82697970000004,,,,Hard Math Task,1,Enter Name Here,,,
Choice made,119.9440548,,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,119.94412570000009,True,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,119.94416720000004,True,,,Hard Math Task,1,Enter Name Here,,,
Math Trial Start,121.97414370000001,,,,Hard Math Task,1,Enter Name Here,,,
Choice presented,121.98090610000008,,,,Hard Math Task,1,Enter Name Here,,,
Choice made,127.45030050000014,,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,127.45034260000011,False,,,Hard Math Task,1,Enter Name Here,,,
Math Trial Start,129.47830680000015,,,,Hard Math Task,1,Enter Name Here,,,
Choice presented,129.4867875,,,,Hard Math Task,1,Enter Name Here,,,
Choice made,133.33804980000014,,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,133.33812160000002,True,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,133.33816190000016,True,,,Hard Math Task,1,Enter Name Here,,,
Math Trial Start,135.36762969999995,,,,Hard Math Task,1,Enter Name Here,,,
Choice presented,135.37496190000002,,,,Hard Math Task,1,Enter Name Here,,,
Choice made,139.54298270000004,,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,139.5430503,False,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,139.54308770000011,False,,,Hard Math Task,1,Enter Name Here,,,
Math Trial Start,141.57275590000017,,,,Hard Math Task,1,Enter Name Here,,,
Choice presented,141.5798307,,,,Hard Math Task,1,Enter Name Here,,,
Choice made,147.04901480000012,,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,147.04909199999997,False,,,Hard Math Task,1,Enter Name Here,,,
Math Trial Start,149.0790723,,,,Hard Math Task,1,Enter Name Here,,,
Choice presented,149.08593310000015,,,,Hard Math Task,1,Enter Name Here,,,
Choice made,151.10217039999998,,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,151.10220019999997,True,,,Hard Math Task,1,Enter Name Here,,,
Math Trial End,151.102218,True,,,Hard Math Task,1,Enter Name Here,,,
Math Task End,153.1196817,,,,Hard Math Task,1,Enter Name Here,,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,153.12300040000014
ESQ,160.2320095,,Problem_start,,Experience Sampling Questions,1,Enter Name Here,,,Hard Math Task
ESQ,175.53842480000003,,Problem_response,10.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 8,Hard Math Task
ESQ,175.5399754,,Self_start,,Experience Sampling Questions,1,Enter Name Here,,,Hard Math Task
ESQ,193.25220090000016,,Self_response,1.3,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 7,Hard Math Task
ESQ,193.25393129999998,,Images_start,,Experience Sampling Questions,1,Enter Name Here,,,Hard Math Task
ESQ,202.90942770000015,,Images_response,1.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 2,Hard Math Task
ESQ,202.90980120000017,,Absorption_start,,Experience Sampling Questions,1,Enter Name Here,,,Hard Math Task
