METADATA:,,,,,,,,,,
Experiment Seed,Subject,,,,,,,,,
3912021,97,,,,,,,,,
Time after setup,1.8303082,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Hard Math Task,,,,,,,,,
Start Time,31.6069653,,,,,,,,,
Math Task Start,43.8484876,,,,Hard Math Task,1,97,,,
fixation cross,43.8610212,,,,Hard Math Task,1,97,,,
Math Trial Start,45.9036673,,,,Hard Math Task,1,97,,,
Choice presented,45.9220708,,,,Hard Math Task,1,97,,,
Choice made,48.5887022,,,,Hard Math Task,1,97,,,
Math Trial End,48.5887354,FALSE,,,Hard Math Task,1,97,,,
Math Trial End,48.5887499,FALSE,,,Hard Math Task,1,97,,,
Math Trial Start,50.6203797,,,,Hard Math Task,1,97,,,
Choice presented,50.6250586,,,,Hard Math Task,1,97,,,
Choice made,56.0949665,,,,Hard Math Task,1,97,,,
Math Trial End,56.0950577,FALSE,,,Hard Math Task,1,97,,,
Math Trial Start,58.1254568,,,,Hard Math Task,1,97,,,
Choice presented,58.1314866,,,,Hard Math Task,1,97,,,
Choice made,60.3814425,,,,Hard Math Task,1,97,,,
Math Trial End,60.3814761,TRUE,,,Hard Math Task,1,97,,,
Math Trial End,60.3814928,TRUE,,,Hard Math Task,1,97,,,
Math Trial Start,62.4088456,,,,Hard Math Task,1,97,,,
Choice presented,62.4184853,,,,Hard Math Task,1,97,,,
Choice made,65.7027566,,,,Hard Math Task,1,97,,,
Math Trial End,65.702797,FALSE,,,Hard Math Task,1,97,,,
Math Trial End,65.7028144,FALSE,,,Hard Math Task,1,97,,,
Math Trial Start,67.7336162,,,,Hard Math Task,1,97,,,
Choice presented,67.7386488,,,,Hard Math Task,1,97,,,
Choice made,70.3228299,,,,Hard Math Task,1,97,,,
Math Trial End,70.3229145,TRUE,,,Hard Math Task,1,97,,,
Math Trial End,70.3229666,TRUE,,,Hard Math Task,1,97,,,
Math Trial Start,72.3484962,,,,Hard Math Task,1,97,,,
