METADATA:,,,,,,,,,,
Experiment Seed,Subject,,,,,,,,,
99,99,,,,,,,,,
Time after setup,20.9182933,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 ,,,,,,,,,,
Runtime Mod,13,,,,,,,,,
EXPERIMENT DATA:,GoNoGo Task,,,,,,,,,
Start Time,44.1818373,,,,,,,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,157.9591832,,,,,,,,,
ESQ,180.4421445,,Images_response,8.2,Experience Sampling Questions,1,99,,Marker Started at 7,GoNoGo Task
ESQ,187.4484543,,Other_response,1,Experience Sampling Questions,1,99,,Marker Started at 10,GoNoGo Task
ESQ,197.6720483,,Sounds_response,2,Experience Sampling Questions,1,99,,Marker Started at 10,GoNoGo Task
ESQ,208.6652049,,Detailed_response,8.3,Experience Sampling Questions,1,99,,Marker Started at 4,GoNoGo Task
ESQ,217.4883456,,Past_response,2.3,Experience Sampling Questions,1,99,,Marker Started at 10,GoNoGo Task
ESQ,232.4844661,,Focus_response,2.2,Experience Sampling Questions,1,99,,Marker Started at 5,GoNoGo Task
ESQ,243.9593854,,Knowledge_response,6,Experience Sampling Questions,1,99,,Marker Started at 2,GoNoGo Task
ESQ,252.9997082,,Future_response,7.8,Experience Sampling Questions,1,99,,Marker Started at 9,GoNoGo Task
ESQ,255.7693561,,Self_response,8,Experience Sampling Questions,1,99,,Marker Started at 8,GoNoGo Task
ESQ,268.6965265,,Deliberate_response,2.2,Experience Sampling Questions,1,99,,Marker Started at 3,GoNoGo Task
ESQ,275.2512518,,Absorption_response,10,Experience Sampling Questions,1,99,,Marker Started at 8,GoNoGo Task
ESQ,278.7378555,,Problem_response,9,Experience Sampling Questions,1,99,,Marker Started at 9,GoNoGo Task
ESQ,285.4095148,,Emotion_response,5.5,Experience Sampling Questions,1,99,,Marker Started at 6,GoNoGo Task
ESQ,299.7876917,,Distracting_response,3.3,Experience Sampling Questions,1,99,,Marker Started at 8,GoNoGo Task
ESQ,304.6754055,,Intrusive_response,8,Experience Sampling Questions,1,99,,Marker Started at 6,GoNoGo Task
ESQ,310.0295624,,Words_response,6.2,Experience Sampling Questions,1,99,,Marker Started at 6,GoNoGo Task
 ,,,,,,,,,,
Runtime Mod,7,,,,,,,,,
EXPERIMENT DATA:,GoNoGo Task,,,,,,,,,
Start Time,310.0410845,,,,,,,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,416.4149748,,,,,,,,,
ESQ,426.62272,,Deliberate_response,4,Experience Sampling Questions,1,99,,Marker Started at 4,GoNoGo Task
ESQ,435.4630034,,Intrusive_response,4.4,Experience Sampling Questions,1,99,,Marker Started at 3,GoNoGo Task
ESQ,440.7672768,,Problem_response,6.5,Experience Sampling Questions,1,99,,Marker Started at 4,GoNoGo Task
ESQ,446.8054918,,Absorption_response,8.2,Experience Sampling Questions,1,99,,Marker Started at 5,GoNoGo Task
ESQ,454.2279268,,Past_response,8.3,Experience Sampling Questions,1,99,,Marker Started at 5,GoNoGo Task
ESQ,459.8323189,,Future_response,6.6,Experience Sampling Questions,1,99,,Marker Started at 9,GoNoGo Task
ESQ,468.072276,,Emotion_response,7.3,Experience Sampling Questions,1,99,,Marker Started at 4,GoNoGo Task
ESQ,475.7283791,,Other_response,1,Experience Sampling Questions,1,99,,Marker Started at 10,GoNoGo Task
ESQ,484.5684626,,Self_response,7.6,Experience Sampling Questions,1,99,,Marker Started at 2,GoNoGo Task
ESQ,489.9563055,,Images_response,9.1,Experience Sampling Questions,1,99,,Marker Started at 4,GoNoGo Task
ESQ,496.061292,,Focus_response,1,Experience Sampling Questions,1,99,,Marker Started at 8,GoNoGo Task
ESQ,503.4504067,,Detailed_response,6.8,Experience Sampling Questions,1,99,,Marker Started at 8,GoNoGo Task
ESQ,515.742985,,Words_response,3.2,Experience Sampling Questions,1,99,,Marker Started at 7,GoNoGo Task
ESQ,520.6807232,,Knowledge_response,9.3,Experience Sampling Questions,1,99,,Marker Started at 2,GoNoGo Task
ESQ,525.1004496,,Sounds_response,2.2,Experience Sampling Questions,1,99,,Marker Started at 7,GoNoGo Task
ESQ,533.2074403,,Distracting_response,2.9,Experience Sampling Questions,1,99,,Marker Started at 6,GoNoGo Task
 ,,,,,,,,,,
Runtime Mod,8,,,,,,,,,
EXPERIMENT DATA:,GoNoGo Task,,,,,,,,,
Start Time,533.2241663,,,,,,,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,638.8921607,,,,,,,,,
ESQ,649.3499102,,Problem_response,8.8,Experience Sampling Questions,1,99,,Marker Started at 9,GoNoGo Task
ESQ,654.0373946,,Focus_response,1.2,Experience Sampling Questions,1,99,,Marker Started at 5,GoNoGo Task
ESQ,657.4066247,,Other_response,1,Experience Sampling Questions,1,99,,Marker Started at 7,GoNoGo Task
ESQ,662.0768199,,Images_response,9.1,Experience Sampling Questions,1,99,,Marker Started at 9,GoNoGo Task
ESQ,671.4514008,,Deliberate_response,9.1,Experience Sampling Questions,1,99,,Marker Started at 6,GoNoGo Task
ESQ,676.4383564,,Words_response,3.1,Experience Sampling Questions,1,99,,Marker Started at 9,GoNoGo Task
ESQ,680.3749438,,Sounds_response,1.3,Experience Sampling Questions,1,99,,Marker Started at 7,GoNoGo Task
ESQ,692.4178008,,Intrusive_response,6,Experience Sampling Questions,1,99,,Marker Started at 5,GoNoGo Task
ESQ,699.1229084,,Absorption_response,10,Experience Sampling Questions,1,99,,Marker Started at 5,GoNoGo Task
ESQ,703.2265073,,Distracting_response,2.4,Experience Sampling Questions,1,99,,Marker Started at 8,GoNoGo Task
ESQ,709.0810257,,Self_response,8,Experience Sampling Questions,1,99,,Marker Started at 10,GoNoGo Task
ESQ,726.4771769,,Emotion_response,5.3,Experience Sampling Questions,1,99,,Marker Started at 4,GoNoGo Task
ESQ,736.9532485,,Knowledge_response,9.2,Experience Sampling Questions,1,99,,Marker Started at 6,GoNoGo Task
ESQ,750.5635025,,Detailed_response,4.3,Experience Sampling Questions,1,99,,Marker Started at 7,GoNoGo Task
ESQ,754.5170012,,Past_response,9.3,Experience Sampling Questions,1,99,,Marker Started at 3,GoNoGo Task
ESQ,759.2376179,,Future_response,2,Experience Sampling Questions,1,99,,Marker Started at 8,GoNoGo Task
 ,,,,,,,,,,
Runtime Mod,-10,,,,,,,,,
EXPERIMENT DATA:,Memory Task,,,,,,,,,
Start Time,759.2513022,,,,,,,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,814.5846791,,,,,,,,,
ESQ,824.5061672,,Sounds_response,6.8,Experience Sampling Questions,1,99,,Marker Started at 3,Memory Task
ESQ,832.3461361,,Intrusive_response,3.6,Experience Sampling Questions,1,99,,Marker Started at 6,Memory Task
ESQ,837.3166093,,Deliberate_response,9,Experience Sampling Questions,1,99,,Marker Started at 4,Memory Task
ESQ,843.7213199,,Future_response,1,Experience Sampling Questions,1,99,,Marker Started at 3,Memory Task
ESQ,851.1266738,,Distracting_response,4.4,Experience Sampling Questions,1,99,,Marker Started at 2,Memory Task
ESQ,855.0141578,,Past_response,10,Experience Sampling Questions,1,99,,Marker Started at 9,Memory Task
ESQ,861.0349837,,Words_response,2.7,Experience Sampling Questions,1,99,,Marker Started at 5,Memory Task
ESQ,867.6907315,,Absorption_response,8,Experience Sampling Questions,1,99,,Marker Started at 10,Memory Task
ESQ,871.5435198,,Knowledge_response,10,Experience Sampling Questions,1,99,,Marker Started at 8,Memory Task
ESQ,878.0153432,,Problem_response,2.1,Experience Sampling Questions,1,99,,Marker Started at 4,Memory Task
ESQ,885.4383656,,Other_response,9,Experience Sampling Questions,1,99,,Marker Started at 8,Memory Task
ESQ,890.9759472,,Detailed_response,9.3,Experience Sampling Questions,1,99,,Marker Started at 4,Memory Task
ESQ,895.5140679,,Self_response,9.4,Experience Sampling Questions,1,99,,Marker Started at 7,Memory Task
ESQ,900.7841429,,Emotion_response,8.9,Experience Sampling Questions,1,99,,Marker Started at 9,Memory Task
ESQ,907.9897913,,Focus_response,2.2,Experience Sampling Questions,1,99,,Marker Started at 4,Memory Task
