METADATA:
Experiment Seed,Subject
5438547,Sam
Time after setup,26.77149719998124
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-14
EXPERIMENT DATA:,GoNoGo Task
Start Time,68.11072470000363
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,180.31841649999842
ESQ,188.9247817999858,,Intrusive_response,5.900000000000011,Experience Sampling Questions,1,Sam,,Marker Started at 9,GoNoGo Task
ESQ,196.49738059999072,,Distracting_response,2.6000000000000005,Experience Sampling Questions,1,Sam,,Marker Started at 2,GoNoGo Task
ESQ,203.87103340000613,,Absorption_response,3.900000000000001,Experience Sampling Questions,1,Sam,,Marker Started at 3,GoNoGo Task
ESQ,207.8747469999944,,Images_response,1.0,Experience Sampling Questions,1,Sam,,Marker Started at 2,GoNoGo Task
ESQ,213.6117976999958,,Knowledge_response,2.000000000000001,Experience Sampling Questions,1,Sam,,Marker Started at 6,GoNoGo Task
ESQ,216.81351139998878,,Detailed_response,1.4000000000000001,Experience Sampling Questions,1,Sam,,Marker Started at 2,GoNoGo Task
ESQ,220.01567090000026,,Self_response,2.3000000000000047,Experience Sampling Questions,1,Sam,,Marker Started at 7,GoNoGo Task
ESQ,225.00423339998815,,Focus_response,2.1000000000000116,Experience Sampling Questions,1,Sam,,Marker Started at 9,GoNoGo Task
ESQ,229.47312149999198,,Emotion_response,5.599999999999999,Experience Sampling Questions,1,Sam,,Marker Started at 4,GoNoGo Task
ESQ,233.4951310000033,,Past_response,1.7000000000000117,Experience Sampling Questions,1,Sam,,Marker Started at 9,GoNoGo Task
ESQ,243.117880899983,,Problem_response,1.4999999999999976,Experience Sampling Questions,1,Sam,,Marker Started at 5,GoNoGo Task
ESQ,246.23854059999576,,Sounds_response,1.400000000000001,Experience Sampling Questions,1,Sam,,Marker Started at 6,GoNoGo Task
ESQ,250.62564459998976,,Deliberate_response,8.999999999999988,Experience Sampling Questions,1,Sam,,Marker Started at 3,GoNoGo Task
ESQ,254.36170320000383,,Future_response,2.200000000000008,Experience Sampling Questions,1,Sam,,Marker Started at 8,GoNoGo Task
ESQ,257.0456071999797,,Other_response,2.0999999999999974,Experience Sampling Questions,1,Sam,,Marker Started at 5,GoNoGo Task
ESQ,260.2145582999801,,Words_response,2.8000000000000123,Experience Sampling Questions,1,Sam,,Marker Started at 9,GoNoGo Task
 
Runtime Mod,-7
EXPERIMENT DATA:,GoNoGo Task
Start Time,260.22879850000027
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,349.6206681999902
ESQ,358.6781989999872,,Other_response,6.9,Experience Sampling Questions,1,Sam,,Marker Started at 7,GoNoGo Task
ESQ,361.713474499993,,Emotion_response,5.000000000000011,Experience Sampling Questions,1,Sam,,Marker Started at 8,GoNoGo Task
ESQ,366.06595329998527,,Knowledge_response,6.600000000000012,Experience Sampling Questions,1,Sam,,Marker Started at 10,GoNoGo Task
ESQ,371.73856130000786,,Intrusive_response,7.9999999999999964,Experience Sampling Questions,1,Sam,,Marker Started at 7,GoNoGo Task
ESQ,374.75619769998593,,Focus_response,7.0,Experience Sampling Questions,1,Sam,,Marker Started at 7,GoNoGo Task
ESQ,381.4282069999899,,Images_response,5.4,Experience Sampling Questions,1,Sam,,Marker Started at 3,GoNoGo Task
ESQ,394.65508090000367,,Detailed_response,6.299999999999998,Experience Sampling Questions,1,Sam,,Marker Started at 2,GoNoGo Task
ESQ,400.7446370999969,,Self_response,7.000000000000007,Experience Sampling Questions,1,Sam,,Marker Started at 9,GoNoGo Task
ESQ,403.8300944000075,,Absorption_response,7.600000000000005,Experience Sampling Questions,1,Sam,,Marker Started at 9,GoNoGo Task
ESQ,406.747667299991,,Future_response,9.0,Experience Sampling Questions,1,Sam,,Marker Started at 9,GoNoGo Task
ESQ,412.66973520000465,,Past_response,4.800000000000007,Experience Sampling Questions,1,Sam,,Marker Started at 7,GoNoGo Task
ESQ,416.79117559999577,,Sounds_response,1.6000000000000116,Experience Sampling Questions,1,Sam,,Marker Started at 9,GoNoGo Task
ESQ,421.54351630000747,,Distracting_response,4.800000000000014,Experience Sampling Questions,1,Sam,,Marker Started at 9,GoNoGo Task
ESQ,426.5308005999832,,Deliberate_response,5.600000000000016,Experience Sampling Questions,1,Sam,,Marker Started at 10,GoNoGo Task
ESQ,431.16768759998376,,Problem_response,1.900000000000008,Experience Sampling Questions,1,Sam,,Marker Started at 8,GoNoGo Task
