METADATA:
Experiment Seed,Subject
5438547,Sam
Time after setup,26.77148500000476
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,GoNoGo Task
Start Time,68.11071179999271
gonogo START,68.11074609999196,,,,GoNoGo Task,1,Sam,,,
Go/NoGo Initialized,117.78557179999189,,,,GoNoGo Task,1,Sam,,,
Stimulus start,118.59714779999922,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,119.35402999998769,noResponse,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,120.41134299998521,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,121.42225509998389,False,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,122.22940999999992,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,123.24052739999024,noResponse,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,123.79748489998747,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,125.0584644000046,False,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,126.11579680000432,,,,GoNoGo Task,1,Sam,,Type: NoGo,
Stimulus end,127.37704429999576,True,,,GoNoGo Task,1,Sam,,Type: NoGo,
Stimulus start,128.1841698999924,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,128.94477420000476,noResponse,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,129.75222130000475,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,131.01320630000555,False,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,132.07135709997965,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,132.83152449998306,noResponse,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,133.64003730000695,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,134.39936879999004,noResponse,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,134.95575689998805,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,135.9671176999982,False,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,137.02447780000512,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,138.03551049999078,False,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,138.84273569998913,,,,GoNoGo Task,1,Sam,,Type: NoGo,
Stimulus end,140.10403509999742,True,,,GoNoGo Task,1,Sam,,Type: NoGo,
Stimulus start,141.16055480000796,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,142.4222762999998,False,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,142.9791425000003,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,144.2400134000054,False,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,145.0478870999941,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,145.80824250000296,False,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,146.86696459999075,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,147.62579190000542,False,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,148.43326499999966,,,,GoNoGo Task,1,Sam,,Type: NoGo,
Stimulus end,149.69484949999605,True,,,GoNoGo Task,1,Sam,,Type: NoGo,
Stimulus start,150.75162419999833,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,152.01332120000734,False,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,153.07086649999837,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,154.081197099993,False,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,154.63850899998215,,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus end,155.89968669999507,False,,,GoNoGo Task,1,Sam,,Type: Go,
Stimulus start,156.70223439999972,,,,GoNoGo Task,1,Sam,,Type: NoGo,
