METADATA:
Experiment Seed,Subject
1398824,jake
Time after setup,3.706220799998846
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,5
EXPERIMENT DATA:,GoNoGo Task
Start Time,87.25892630001181
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,203.73025570000755
ESQ,221.74234990001423,,Detailed_response,1.9999999999999973,Experience Sampling Questions,1,jake,,Marker Started at 5,GoNoGo Task
ESQ,230.99957690000883,,Problem_response,1.0,Experience Sampling Questions,1,jake,,Marker Started at 6,GoNoGo Task
ESQ,237.3052632000181,,Self_response,1.0,Experience Sampling Questions,1,jake,,Marker Started at 8,GoNoGo Task
ESQ,242.25911680000718,,Past_response,1.0,Experience Sampling Questions,1,jake,,Marker Started at 2,GoNoGo Task
ESQ,251.46674880001228,,Future_response,3.0,Experience Sampling Questions,1,jake,,Marker Started at 3,GoNoGo Task
ESQ,261.44100039999466,,Distracting_response,4.000000000000006,Experience Sampling Questions,1,jake,,Marker Started at 7,GoNoGo Task
ESQ,270.84873530000914,,Intrusive_response,2.2000000000000153,Experience Sampling Questions,1,jake,,Marker Started at 10,GoNoGo Task
ESQ,278.3049780000001,,Absorption_response,3.000000000000001,Experience Sampling Questions,1,jake,,Marker Started at 2,GoNoGo Task
ESQ,286.4104922999977,,Deliberate_response,3.0000000000000124,Experience Sampling Questions,1,jake,,Marker Started at 9,GoNoGo Task
ESQ,291.3310724000039,,Words_response,10.0,Experience Sampling Questions,1,jake,,Marker Started at 5,GoNoGo Task
ESQ,300.6052108000149,,Focus_response,2.000000000000015,Experience Sampling Questions,1,jake,,Marker Started at 10,GoNoGo Task
ESQ,309.8299071000074,,Emotion_response,2.4999999999999987,Experience Sampling Questions,1,jake,,Marker Started at 4,GoNoGo Task
ESQ,314.6829950000101,,Sounds_response,1.0,Experience Sampling Questions,1,jake,,Marker Started at 6,GoNoGo Task
ESQ,327.34350280000945,,Other_response,5.000000000000001,Experience Sampling Questions,1,jake,,Marker Started at 4,GoNoGo Task
ESQ,332.56425890000537,,Images_response,1.0,Experience Sampling Questions,1,jake,,Marker Started at 8,GoNoGo Task
ESQ,341.9234167000104,,Knowledge_response,8.000000000000007,Experience Sampling Questions,1,jake,,Marker Started at 10,GoNoGo Task
 
Runtime Mod,-12
EXPERIMENT DATA:,GoNoGo Task
Start Time,341.9392125000013
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,434.2468382999941
ESQ,447.5397372000152,,Problem_response,1.0,Experience Sampling Questions,1,jake,,Marker Started at 9,GoNoGo Task
ESQ,453.82755960000213,,Intrusive_response,4.000000000000006,Experience Sampling Questions,1,jake,,Marker Started at 7,GoNoGo Task
ESQ,459.99885160001577,,Other_response,10.0,Experience Sampling Questions,1,jake,,Marker Started at 3,GoNoGo Task
ESQ,464.8864512,,Words_response,10.0,Experience Sampling Questions,1,jake,,Marker Started at 4,GoNoGo Task
ESQ,476.9456856000179,,Distracting_response,4.00000000000001,Experience Sampling Questions,1,jake,,Marker Started at 8,GoNoGo Task
ESQ,484.5182363000058,,Self_response,7.000000000000007,Experience Sampling Questions,1,jake,,Marker Started at 9,GoNoGo Task
ESQ,491.1071779000049,,Detailed_response,2.0000000000000115,Experience Sampling Questions,1,jake,,Marker Started at 9,GoNoGo Task
ESQ,495.37756930000614,,Emotion_response,1.0,Experience Sampling Questions,1,jake,,Marker Started at 8,GoNoGo Task
