METADATA:
Experiment Seed,Subject
1398824,jake
Time after setup,3.706209600000875
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,GoNoGo Task
Start Time,87.25891430000775
gonogo START,87.25894970001536,,,,GoNoGo Task,1,jake,,,
Go/NoGo Initialized,122.16451470000902,,,,GoNoGo Task,1,jake,,,
Stimulus start,123.25357719999738,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,124.01565720001236,noResponse,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,124.57942739999271,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,125.83511099999305,False,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,126.89524790001451,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,128.15226100001018,False,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,128.95654189999914,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,129.97038060001796,False,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,130.53573669999605,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,131.5382835000055,False,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,132.3509281000006,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,133.60800750000635,False,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,134.41167430000496,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,135.67489680001745,False,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,136.2327052000037,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,137.4930338000122,False,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,138.54754420000245,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,139.5613673000189,False,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,140.36935419999645,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,141.12925900000846,False,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,141.93957899999805,,,,GoNoGo Task,1,jake,,Type: NoGo,
Stimulus end,143.1976324999996,True,,,GoNoGo Task,1,jake,,Type: NoGo,
Stimulus start,144.26115560001926,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,145.51745760001359,False,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,146.57738339999923,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,147.33421400000225,False,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,147.88774420000846,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,149.15232630001265,False,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,150.20626890001586,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,151.47083010000642,False,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,152.2845021999965,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,153.54056250001304,False,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,154.10305050000898,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,155.35862020001514,False,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,155.92136510001728,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,156.6762968999974,False,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus start,157.23306230001617,,,,GoNoGo Task,1,jake,,Type: Go,
Stimulus end,157.99273009999888,noResponse,,,GoNoGo Task,1,jake,,Type: Go,
