METADATA:
Experiment Seed,Subject
9800528,martha
Time after setup,78.87629810001818
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-14
EXPERIMENT DATA:,Movie Task
Start Time,215.60693530002027
ESQ,279.54804100000183,,Future_response,1.0,Movie Task,1,martha,,Marker Started at 5,Movie Task-incept
ESQ,287.0370750000002,,Detailed_response,1.800000000000001,Movie Task,1,martha,,Marker Started at 6,Movie Task-incept
ESQ,292.70905230002245,,Other_response,1.7000000000000153,Movie Task,1,martha,,Marker Started at 10,Movie Task-incept
ESQ,301.3490590000001,,Sounds_response,6.20000000000001,Movie Task,1,martha,,Marker Started at 9,Movie Task-incept
ESQ,307.3030999000184,,Emotion_response,8.700000000000005,Movie Task,1,martha,,Marker Started at 10,Movie Task-incept
ESQ,311.6910741000029,,Intrusive_response,2.600000000000012,Movie Task,1,martha,,Marker Started at 9,Movie Task-incept
ESQ,317.17905890001566,,Deliberate_response,8.0,Movie Task,1,martha,,Marker Started at 8,Movie Task-incept
ESQ,323.71706120000454,,Distracting_response,7.399999999999995,Movie Task,1,martha,,Marker Started at 6,Movie Task-incept
ESQ,327.92009540001163,,Words_response,1.6000000000000152,Movie Task,1,martha,,Marker Started at 10,Movie Task-incept
ESQ,331.7230508000066,,Problem_response,7.99999999999999,Movie Task,1,martha,,Marker Started at 4,Movie Task-incept
ESQ,337.1280302000232,,Absorption_response,6.599999999999996,Movie Task,1,martha,,Marker Started at 3,Movie Task-incept
ESQ,341.56505610002205,,Focus_response,7.699999999999991,Movie Task,1,martha,,Marker Started at 4,Movie Task-incept
ESQ,345.50108450002153,,Past_response,1.7999999999999985,Movie Task,1,martha,,Marker Started at 4,Movie Task-incept
ESQ,350.83818620000966,,Images_response,2.099999999999999,Movie Task,1,martha,,Marker Started at 3,Movie Task-incept
ESQ,356.64408870000625,,Knowledge_response,3.100000000000001,Movie Task,1,martha,,Marker Started at 2,Movie Task-incept
ESQ,362.58013980000396,,Self_response,7.5999999999999925,Movie Task,1,martha,,Marker Started at 3,Movie Task-incept
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,410.7518729000003
ESQ,419.3600197000196,,Detailed_response,2.0999999999999983,Experience Sampling Questions,1,martha,,Marker Started at 4,Movie Task-Movie Task-incept
ESQ,425.2980103000009,,Problem_response,8.399999999999991,Experience Sampling Questions,1,martha,,Marker Started at 6,Movie Task-Movie Task-incept
ESQ,428.7510600000096,,Words_response,2.0999999999999974,Experience Sampling Questions,1,martha,,Marker Started at 5,Movie Task-Movie Task-incept
ESQ,432.9700488000235,,Absorption_response,2.100000000000008,Experience Sampling Questions,1,martha,,Marker Started at 8,Movie Task-Movie Task-incept
ESQ,437.8090191000083,,Knowledge_response,8.69999999999999,Experience Sampling Questions,1,martha,,Marker Started at 6,Movie Task-Movie Task-incept
ESQ,443.2283192000177,,Deliberate_response,1.5999999999999992,Experience Sampling Questions,1,martha,,Marker Started at 3,Movie Task-Movie Task-incept
ESQ,480.9760500000266,,Emotion_response,6.099999999999998,Experience Sampling Questions,1,martha,,Marker Started at 3,Movie Task-Movie Task-incept
ESQ,487.3961573000124,,Past_response,7.099999999999993,Experience Sampling Questions,1,martha,,Marker Started at 4,Movie Task-Movie Task-incept
ESQ,491.0000541000045,,Distracting_response,1.5,Experience Sampling Questions,1,martha,,Marker Started at 2,Movie Task-Movie Task-incept
ESQ,494.08605979999993,,Future_response,1.8999999999999992,Experience Sampling Questions,1,martha,,Marker Started at 3,Movie Task-Movie Task-incept
ESQ,498.540040700027,,Sounds_response,2.799999999999998,Experience Sampling Questions,1,martha,,Marker Started at 5,Movie Task-Movie Task-incept
ESQ,501.892021800013,,Self_response,7.399999999999995,Experience Sampling Questions,1,martha,,Marker Started at 6,Movie Task-Movie Task-incept
ESQ,506.6630126000091,,Other_response,2.8000000000000016,Experience Sampling Questions,1,martha,,Marker Started at 6,Movie Task-Movie Task-incept
ESQ,510.2990584000072,,Images_response,2.0,Experience Sampling Questions,1,martha,,Marker Started at 2,Movie Task-Movie Task-incept
ESQ,515.8020553000097,,Focus_response,2.5000000000000155,Experience Sampling Questions,1,martha,,Marker Started at 10,Movie Task-Movie Task-incept
ESQ,520.1730040000111,,Intrusive_response,1.8000000000000151,Experience Sampling Questions,1,martha,,Marker Started at 10,Movie Task-Movie Task-incept
 
Runtime Mod,-7
EXPERIMENT DATA:,GoNoGo Task
Start Time,520.1988123000192
