METADATA:
Experiment Seed,Subject
9800528,martha
Time after setup,78.87628740002401
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,215.60692300001392
Movie Task Start,215.60695730001316,,,,Movie Task,1,martha,,,
Movie Init,246.81032890002825,,,,Movie Task,1,martha,,,
Movie Start,246.81037000002107,,,,Movie Task,1,martha,,incept.mp4,
ESQ,270.1831433000043,,Future_start,,Movie Task,1,martha,,,Movie Task-incept
ESQ,279.54804100000183,,Future_response,1.0,Movie Task,1,martha,,Marker Started at 5,Movie Task-incept
ESQ,279.5485037000035,,Detailed_start,,Movie Task,1,martha,,,Movie Task-incept
ESQ,287.0370750000002,,Detailed_response,1.800000000000001,Movie Task,1,martha,,Marker Started at 6,Movie Task-incept
ESQ,287.03752550002537,,Other_start,,Movie Task,1,martha,,,Movie Task-incept
ESQ,292.70905230002245,,Other_response,1.7000000000000153,Movie Task,1,martha,,Marker Started at 10,Movie Task-incept
ESQ,292.7094974000065,,Sounds_start,,Movie Task,1,martha,,,Movie Task-incept
ESQ,301.3490590000001,,Sounds_response,6.20000000000001,Movie Task,1,martha,,Marker Started at 9,Movie Task-incept
ESQ,301.34951170001295,,Emotion_start,,Movie Task,1,martha,,,Movie Task-incept
ESQ,307.3030999000184,,Emotion_response,8.700000000000005,Movie Task,1,martha,,Marker Started at 10,Movie Task-incept
ESQ,307.30355860001873,,Intrusive_start,,Movie Task,1,martha,,,Movie Task-incept
ESQ,311.6910741000029,,Intrusive_response,2.600000000000012,Movie Task,1,martha,,Marker Started at 9,Movie Task-incept
ESQ,311.69151430000784,,Deliberate_start,,Movie Task,1,martha,,,Movie Task-incept
ESQ,317.17905890001566,,Deliberate_response,8.0,Movie Task,1,martha,,Marker Started at 8,Movie Task-incept
ESQ,317.1795186000236,,Distracting_start,,Movie Task,1,martha,,,Movie Task-incept
ESQ,323.71706120000454,,Distracting_response,7.399999999999995,Movie Task,1,martha,,Marker Started at 6,Movie Task-incept
ESQ,323.7175071000238,,Words_start,,Movie Task,1,martha,,,Movie Task-incept
ESQ,327.92009540001163,,Words_response,1.6000000000000152,Movie Task,1,martha,,Marker Started at 10,Movie Task-incept
ESQ,327.9205408000271,,Problem_start,,Movie Task,1,martha,,,Movie Task-incept
ESQ,331.7230508000066,,Problem_response,7.99999999999999,Movie Task,1,martha,,Marker Started at 4,Movie Task-incept
ESQ,331.7235010000004,,Absorption_start,,Movie Task,1,martha,,,Movie Task-incept
ESQ,337.1280302000232,,Absorption_response,6.599999999999996,Movie Task,1,martha,,Marker Started at 3,Movie Task-incept
ESQ,337.1284786000033,,Focus_start,,Movie Task,1,martha,,,Movie Task-incept
ESQ,341.56505610002205,,Focus_response,7.699999999999991,Movie Task,1,martha,,Marker Started at 4,Movie Task-incept
ESQ,341.56549930002075,,Past_start,,Movie Task,1,martha,,,Movie Task-incept
ESQ,345.50108450002153,,Past_response,1.7999999999999985,Movie Task,1,martha,,Marker Started at 4,Movie Task-incept
ESQ,345.50152890000027,,Images_start,,Movie Task,1,martha,,,Movie Task-incept
ESQ,350.83818620000966,,Images_response,2.099999999999999,Movie Task,1,martha,,Marker Started at 3,Movie Task-incept
ESQ,350.8386335000105,,Knowledge_start,,Movie Task,1,martha,,,Movie Task-incept
ESQ,356.64408870000625,,Knowledge_response,3.100000000000001,Movie Task,1,martha,,Marker Started at 2,Movie Task-incept
ESQ,356.6445341000217,,Self_start,,Movie Task,1,martha,,,Movie Task-incept
ESQ,362.58013980000396,,Self_response,7.5999999999999925,Movie Task,1,martha,,Marker Started at 3,Movie Task-incept
Movie End incept.mp4,410.7200102000206,,,,Movie Task,1,martha,,22,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,410.75185800000327
ESQ,414.62028610002017,,Detailed_start,,Experience Sampling Questions,1,martha,,,Movie Task-Movie Task-incept
ESQ,419.3600197000196,,Detailed_response,2.0999999999999983,Experience Sampling Questions,1,martha,,Marker Started at 4,Movie Task-Movie Task-incept
ESQ,419.3604793000268,,Problem_start,,Experience Sampling Questions,1,martha,,,Movie Task-Movie Task-incept
ESQ,425.2980103000009,,Problem_response,8.399999999999991,Experience Sampling Questions,1,martha,,Marker Started at 6,Movie Task-Movie Task-incept
ESQ,425.29846790002193,,Words_start,,Experience Sampling Questions,1,martha,,,Movie Task-Movie Task-incept
ESQ,428.7510600000096,,Words_response,2.0999999999999974,Experience Sampling Questions,1,martha,,Marker Started at 5,Movie Task-Movie Task-incept
ESQ,428.75151620002,,Absorption_start,,Experience Sampling Questions,1,martha,,,Movie Task-Movie Task-incept
ESQ,432.9700488000235,,Absorption_response,2.100000000000008,Experience Sampling Questions,1,martha,,Marker Started at 8,Movie Task-Movie Task-incept
ESQ,432.9705179000157,,Knowledge_start,,Experience Sampling Questions,1,martha,,,Movie Task-Movie Task-incept
ESQ,437.8090191000083,,Knowledge_response,8.69999999999999,Experience Sampling Questions,1,martha,,Marker Started at 6,Movie Task-Movie Task-incept
ESQ,437.80946890002815,,Deliberate_start,,Experience Sampling Questions,1,martha,,,Movie Task-Movie Task-incept
ESQ,443.2283192000177,,Deliberate_response,1.5999999999999992,Experience Sampling Questions,1,martha,,Marker Started at 3,Movie Task-Movie Task-incept
ESQ,443.2287761000043,,Emotion_start,,Experience Sampling Questions,1,martha,,,Movie Task-Movie Task-incept
ESQ,480.9760500000266,,Emotion_response,6.099999999999998,Experience Sampling Questions,1,martha,,Marker Started at 3,Movie Task-Movie Task-incept
ESQ,480.976501200028,,Past_start,,Experience Sampling Questions,1,martha,,,Movie Task-Movie Task-incept
ESQ,487.3961573000124,,Past_response,7.099999999999993,Experience Sampling Questions,1,martha,,Marker Started at 4,Movie Task-Movie Task-incept
ESQ,487.3965998000058,,Distracting_start,,Experience Sampling Questions,1,martha,,,Movie Task-Movie Task-incept
ESQ,491.0000541000045,,Distracting_response,1.5,Experience Sampling Questions,1,martha,,Marker Started at 2,Movie Task-Movie Task-incept
ESQ,491.00048990000505,,Future_start,,Experience Sampling Questions,1,martha,,,Movie Task-Movie Task-incept
ESQ,494.08605979999993,,Future_response,1.8999999999999992,Experience Sampling Questions,1,martha,,Marker Started at 3,Movie Task-Movie Task-incept
ESQ,494.08650170001783,,Sounds_start,,Experience Sampling Questions,1,martha,,,Movie Task-Movie Task-incept
ESQ,498.540040700027,,Sounds_response,2.799999999999998,Experience Sampling Questions,1,martha,,Marker Started at 5,Movie Task-Movie Task-incept
ESQ,498.5404772000038,,Self_start,,Experience Sampling Questions,1,martha,,,Movie Task-Movie Task-incept
ESQ,501.892021800013,,Self_response,7.399999999999995,Experience Sampling Questions,1,martha,,Marker Started at 6,Movie Task-Movie Task-incept
ESQ,501.892470300023,,Other_start,,Experience Sampling Questions,1,martha,,,Movie Task-Movie Task-incept
ESQ,506.6630126000091,,Other_response,2.8000000000000016,Experience Sampling Questions,1,martha,,Marker Started at 6,Movie Task-Movie Task-incept
ESQ,506.6634688000195,,Images_start,,Experience Sampling Questions,1,martha,,,Movie Task-Movie Task-incept
ESQ,510.2990584000072,,Images_response,2.0,Experience Sampling Questions,1,martha,,Marker Started at 2,Movie Task-Movie Task-incept
ESQ,510.2995013000036,,Focus_start,,Experience Sampling Questions,1,martha,,,Movie Task-Movie Task-incept
ESQ,515.8020553000097,,Focus_response,2.5000000000000155,Experience Sampling Questions,1,martha,,Marker Started at 10,Movie Task-Movie Task-incept
ESQ,515.8025108000147,,Intrusive_start,,Experience Sampling Questions,1,martha,,,Movie Task-Movie Task-incept
ESQ,520.1730040000111,,Intrusive_response,1.8000000000000151,Experience Sampling Questions,1,martha,,Marker Started at 10,Movie Task-Movie Task-incept
EXPERIMENT DATA:,GoNoGo Task
Start Time,520.1987999000121
gonogo START,520.1988350000174,,,,GoNoGo Task,1,martha,,,
Go/NoGo Initialized,548.6301747000252,,,,GoNoGo Task,1,martha,,,
Stimulus start,549.6950252000242,,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus end,550.4480241000128,noResponse,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus start,551.2555864000169,,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus end,552.266148900002,noResponse,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus start,552.8300224000122,,,,GoNoGo Task,1,martha,,Type: NoGo,
Stimulus end,554.0856092000031,False,,,GoNoGo Task,1,martha,,Type: NoGo,
Stimulus start,555.1494087000028,,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus end,555.902289300022,False,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus start,556.716856700019,,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus end,557.4715151000128,False,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus start,558.5374860000156,,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus end,559.788707300002,False,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus start,560.3525760000048,,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus end,561.6082521000062,False,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus start,562.6756181000092,,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus end,563.9420505000162,False,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus start,564.5029092000041,,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus end,565.7601949000091,False,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus start,566.8144534000021,,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus end,567.8284661000071,False,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus start,568.3893715000013,,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus end,569.1462216000073,False,,,GoNoGo Task,1,martha,,Type: Go,
Stimulus start,570.2071360000118,,,,GoNoGo Task,1,martha,,Type: Go,
