METADATA:
Experiment Seed,Subject
1090158,subject006
Time after setup,30.67888010002207
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,GoNoGo Task
Start Time,59.065163300023414
gonogo START,59.06519900006242,,,,GoNoGo Task,1,subject006,,,
Go/NoGo Initialized,100.94693440000992,,,,GoNoGo Task,1,subject006,,,
Stimulus start,102.00580120005179,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,103.01381540007424,noResponse,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,103.81838399998378,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,104.83333090005908,False,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,105.64184609998483,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,106.40098200005013,False,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,106.95502500003204,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,107.71902489999775,False,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,108.77784800005611,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,110.03756199998315,noResponse,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,111.09502750006504,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,112.35607660003006,False,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,113.40959170006681,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,114.42440909997094,False,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,115.47934109997004,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,116.7428757000016,False,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,117.29810540005565,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,118.31078140006866,noResponse,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,119.36455539998133,,,,GoNoGo Task,1,subject006,,Type: NoGo,
Stimulus end,120.12797430006322,False,,,GoNoGo Task,1,subject006,,Type: NoGo,
Stimulus start,120.68290280003566,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,121.69689789996482,False,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,122.2507555000484,,,,GoNoGo Task,1,subject006,,Type: NoGo,
Stimulus end,123.26421599998139,True,,,GoNoGo Task,1,subject006,,Type: NoGo,
Stimulus start,124.06837920006365,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,124.83255180006381,False,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,125.64118480007164,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,126.90114490000997,False,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,127.45569169998635,,,,GoNoGo Task,1,subject006,,Type: NoGo,
Stimulus end,128.7193437999813,True,,,GoNoGo Task,1,subject006,,Type: NoGo,
Stimulus start,129.27185839996673,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,130.28689290001057,False,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,131.34471910004504,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,132.35541039996315,False,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,132.9090199000202,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,134.17351800005417,False,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,134.9816818999825,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,135.74137750000227,noResponse,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,136.54639210004825,,,,GoNoGo Task,1,subject006,,Type: NoGo,
Stimulus end,137.80990380002186,True,,,GoNoGo Task,1,subject006,,Type: NoGo,
Stimulus start,138.61267339996994,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,139.62797699996736,False,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,140.18113050004467,,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus end,141.44597050000448,False,,,GoNoGo Task,1,subject006,,Type: Go,
Stimulus start,141.99869050004054,,,,GoNoGo Task,1,subject006,,Type: Go,
