METADATA:
Experiment Seed,Subject
2353869,subject009
Time after setup,5.781463799998164
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,8
EXPERIMENT DATA:,GoNoGo Task
Start Time,94.60476969997399
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,230.09991480002645
ESQ,244.92594960005954,,Words_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 8,GoNoGo Task
ESQ,248.76216939999722,,Other_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 2,GoNoGo Task
ESQ,258.5021012000507,,Focus_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 6,GoNoGo Task
ESQ,266.25816420000046,,Detailed_response,10.0,Experience Sampling Questions,1,subject009,,Marker Started at 3,GoNoGo Task
ESQ,271.0955728000263,,Deliberate_response,10.0,Experience Sampling Questions,1,subject009,,Marker Started at 3,GoNoGo Task
ESQ,276.3332741999766,,Sounds_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 10,GoNoGo Task
ESQ,280.82127700001,,Intrusive_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 10,GoNoGo Task
ESQ,288.0433546999702,,Knowledge_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 10,GoNoGo Task
ESQ,299.2838588000741,,Emotion_response,5.999999999999998,Experience Sampling Questions,1,subject009,,Marker Started at 3,GoNoGo Task
ESQ,303.37120589998085,,Distracting_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 3,GoNoGo Task
ESQ,307.2909797000466,,Images_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 6,GoNoGo Task
ESQ,311.4101348000113,,Past_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 4,GoNoGo Task
ESQ,314.63016840000637,,Future_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 5,GoNoGo Task
ESQ,320.3680302000139,,Absorption_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 7,GoNoGo Task
ESQ,324.1879148000153,,Self_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 6,GoNoGo Task
ESQ,329.1096797999926,,Problem_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 7,GoNoGo Task
 
Runtime Mod,9
EXPERIMENT DATA:,GoNoGo Task
Start Time,329.12829969997983
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,435.7446921999799
ESQ,441.6660503000021,,Self_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 8,GoNoGo Task
ESQ,449.6544264999684,,Focus_response,2.000000000000015,Experience Sampling Questions,1,subject009,,Marker Started at 10,GoNoGo Task
ESQ,453.440672500059,,Words_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 2,GoNoGo Task
ESQ,457.27720240002964,,Intrusive_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 6,GoNoGo Task
ESQ,465.0831085999962,,Deliberate_response,5.9999999999999964,Experience Sampling Questions,1,subject009,,Marker Started at 5,GoNoGo Task
ESQ,478.62886990001425,,Past_response,7.000000000000011,Experience Sampling Questions,1,subject009,,Marker Started at 10,GoNoGo Task
ESQ,486.70064960001037,,Absorption_response,5.800000000000004,Experience Sampling Questions,1,subject009,,Marker Started at 7,GoNoGo Task
ESQ,490.671264900011,,Detailed_response,4.70000000000001,Experience Sampling Questions,1,subject009,,Marker Started at 8,GoNoGo Task
ESQ,495.52537859999575,,Emotion_response,6.0000000000000036,Experience Sampling Questions,1,subject009,,Marker Started at 7,GoNoGo Task
ESQ,499.0103974000085,,Sounds_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 4,GoNoGo Task
ESQ,505.9503076999681,,Knowledge_response,1.700000000000001,Experience Sampling Questions,1,subject009,,Marker Started at 6,GoNoGo Task
ESQ,509.40205100004096,,Problem_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 4,GoNoGo Task
ESQ,512.4048606000142,,Other_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 2,GoNoGo Task
ESQ,519.1277724000392,,Distracting_response,2.0,Experience Sampling Questions,1,subject009,,Marker Started at 10,GoNoGo Task
ESQ,522.8808955000713,,Images_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 9,GoNoGo Task
ESQ,529.5512780999998,,Future_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 2,GoNoGo Task
 
Runtime Mod,-10
EXPERIMENT DATA:,GoNoGo Task
Start Time,529.5657302000327
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,604.0288350000046
ESQ,623.0592858999735,,Distracting_response,4.000000000000002,Experience Sampling Questions,1,subject009,,Marker Started at 2,GoNoGo Task
ESQ,627.1284478000598,,Future_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 6,GoNoGo Task
ESQ,629.9827842999948,,Problem_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 2,GoNoGo Task
ESQ,633.7355408000294,,Words_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 8,GoNoGo Task
ESQ,640.1225585000357,,Detailed_response,5.000000000000007,Experience Sampling Questions,1,subject009,,Marker Started at 7,GoNoGo Task
ESQ,646.8282675000373,,Images_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 9,GoNoGo Task
ESQ,649.6134620000375,,Self_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 3,GoNoGo Task
ESQ,653.816372100031,,Deliberate_response,4.10000000000001,Experience Sampling Questions,1,subject009,,Marker Started at 8,GoNoGo Task
ESQ,658.8043824000051,,Focus_response,5.699999999999998,Experience Sampling Questions,1,subject009,,Marker Started at 4,GoNoGo Task
ESQ,663.8751368999947,,Past_response,2.3,Experience Sampling Questions,1,subject009,,Marker Started at 9,GoNoGo Task
ESQ,667.2793859000085,,Intrusive_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 7,GoNoGo Task
ESQ,671.2310606000246,,Sounds_response,2.100000000000008,Experience Sampling Questions,1,subject009,,Marker Started at 8,GoNoGo Task
ESQ,675.4343434000621,,Absorption_response,3.2,Experience Sampling Questions,1,subject009,,Marker Started at 3,GoNoGo Task
ESQ,679.037154700025,,Other_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 7,GoNoGo Task
ESQ,686.0094412000617,,Emotion_response,4.900000000000011,Experience Sampling Questions,1,subject009,,Marker Started at 8,GoNoGo Task
ESQ,692.7827928999905,,Knowledge_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 3,GoNoGo Task
 
Runtime Mod,14
EXPERIMENT DATA:,Hard Math Task
Start Time,692.7946452000178
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,799.7855574999703
ESQ,808.8420406000223,,Distracting_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 8,Hard Math Task
ESQ,818.9320993999718,,Emotion_response,6.000000000000011,Experience Sampling Questions,1,subject009,,Marker Started at 9,Hard Math Task
ESQ,824.4020674000494,,Future_response,1.0,Experience Sampling Questions,1,subject009,,Marker Started at 3,Hard Math Task
